qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
,218.0,305.0,2.4592453796829674,24.01606816096648,19.0,1811.981201171875,1.1168382522478892,-7.670168389317666e-10,-1.750390388188805e-09,9.833735492570383e-10,0.9833735492570383,9.833735492570383,2.4592453796829674,3.6888680695244513,24.01606816096648,36.02410224144972,24.0,false_positive,,0.8422726792364408,0.8422726792364408,,8.225319133168368,8.225319133168368
,240.0,305.0,1.381976597885342,13.495865213724043,6.0,572.20458984375,4.71238898038469,-1.2191693210539256e-09,-2.325092229860104e-09,1.1059229088061784e-09,1.1059229088061784,11.059229088061784,1.381976597885342,2.381976597885342,13.495865213724043,23.26149021372404,16.0,false_positive,,0.9009901635740025,0.9009901635740025,,8.798732066152368,8.798732066152368
,73.0,142.0,4.1841419359420025,40.86076109318362,55.0,5245.208740234375,1.011324263046497,-1.2095998647154715e-09,-1.8871830764766173e-09,6.775832117611458e-10,0.6775832117611458,6.775832117611458,4.1841419359420025,6.276212903913004,40.86076109318362,61.29114163977543,64.0,false_positive,6.665491496414049,4.116181525783915,5.390836511098982,65.09269039466845,40.19708521273355,52.644887803700996
,153.0,78.0,2.9316150714175193,28.629053431811712,27.0,2574.920654296875,0.5873082221739995,8.576378496272241e-10,-1.0359654800673468e-10,9.612343976339588e-10,0.9612343976339588,9.612343976339588,2.9316150714175193,4.397422607126279,28.629053431811712,42.94358014771757,36.0,false_positive,,0.9497128861570836,0.9497128861570836,,9.27453990387777,9.27453990387777
,175.0,78.0,1.9544100476116797,19.08603562120781,12.0,1144.4091796875,1.5079644737231006,1.053932052741402e-09,1.3860863151693437e-10,9.153234212244676e-10,0.9153234212244676,9.153234212244676,1.9544100476116797,2.9544100476116797,19.08603562120781,28.85166062120781,16.0,false_positive,,1.0485007684386982,1.0485007684386982,,10.239265316784163,10.239265316784163
,210.0,78.0,1.8712051592547776,18.27348788334744,11.0,1049.041748046875,1.1005645743651304,1.6075497599743471e-09,4.779394657816738e-10,1.1296102941926733e-09,1.1296102941926733,11.296102941926733,1.8712051592547776,2.8712051592547776,18.27348788334744,28.03911288334744,16.0,false_positive,,1.0001451312633414,1.0001451312633414,,9.767042297493568,9.767042297493568
,232.0,78.0,2.876813695875796,28.09388374878707,26.0,2479.55322265625,0.6728775779795808,1.4479171195347362e-09,3.3262896603769576e-10,1.1152881534970405e-09,1.1152881534970405,11.152881534970405,2.876813695875796,4.315220543813694,28.09388374878707,42.1408256231806,36.0,false_positive,,0.8938345448575635,0.8938345448575635,,8.728852977124644,8.728852977124644
,246.0,78.0,1.4927053303604616,14.577200491801383,7.0,667.572021484375,2.2831238497444226,1.111468472814181e-09,1.557164050480786e-10,9.557520677661024e-10,0.9557520677661024,9.557520677661024,1.4927053303604616,2.4927053303604616,14.577200491801383,24.34282549180138,12.0,false_positive,,0.9467817084927734,0.9467817084927734,,9.24591512199974,9.24591512199974
,300.0,305.0,4.068428945128219,39.73075141726777,52.0,4959.1064453125,0.8983243900646514,1.2265422011381588e-09,1.5322910995596573e-10,1.073313091182193e-09,1.073313091182193,10.733130911821931,4.068428945128219,6.102643417692329,39.73075141726777,59.59612712590165,72.0,false_positive,,1.0202134268434087,1.0202134268434087,,9.963021746517663,9.963021746517663
,312.0,305.0,1.2615662610100802,12.319983017676565,5.0,476.837158203125,2.3173247538676778,-1.687787465343149e-09,-2.478247163040237e-09,7.904596976970879e-10,0.7904596976970879,7.904596976970879,1.2615662610100802,2.2615662610100804,12.319983017676565,22.085608017676567,16.0,false_positive,,0.8984527255052948,0.8984527255052948,,8.773952397512645,8.773952397512645
